Sito,Id_prodotto,Url,Nome,Tipo,Tipo_specifico,Brand,Social,Descrizione,Genere,Colore,Eccentrico,Prezzo,Immagine,Fattore_tecnico,Tecnico,Fattore_ambientale,ecologico,prediction_tecnico
decathlon,8555141,https://www.decathlon.it/scarpe-donna-kiprun-kd-plus-id_8555141.html,scarpe running donna kiprun kd plus,scarpe,running,kiprun,no,"la nostra equipe ha sviluppato queste scarpe da running da donna per offrirti ammortizzamento e slancio negli allenamenti e nelle gare, fino alla maratona.efficaci su qualunque distanza, le scarpe kiprun kd plus ti offrono un ritorno di energia potente, per aumentare la fluidità  della falcata e migliorare le tue performance.i vantaggi
ammortizzamento
ammortizzamento per 1000 km grazie al k-ring al tallone, alla schiuma kalensole.
rilancio
la falcata è più dinamica grazie alla geometria e alla schiuma kalensole.
calzata confortevole
linguetta ""semi-scarpetta"" per il massimo comfort.
leggerezza
222g il 39.
aderenza
più aderenza su suolo umido grazie alla struttura e alla geometria della suola.
comfort di utilizzo
il concetto konly le rende adatte per falcate neutre, pronatrici e supinatrici.
limitazione irritazioni
lavorazione seamless(senza cuciture) sull'avampiede per ridurre gli sfregamenti.informazioni tecniche
l'importanza dell'ammortizzamento
per correre a lungo con massimo comfort e performance, abbiamo posto particolare attenzione alla suola, attraverso 2 concetti.
- k-ring: anello situato a livello del tallone, migliora l'ammortizzamento posteriore e permette la dispersione delle onde d'urto per proteggere efficacemente il corpo (articolazioni, schiena, ginocchiaã¢â‚¬â¦).
- kalensole: permette un miglioramento dell'ammortizzamento del 34%, un ritorno di energia +25% ed una durata di 1000km rispetto ad una schiuma tradizionale.
il comfort delle kd plus
per correre regolarmente e a lungo, il comfort del piede è un elemento fondamentale.
quindi abbiamo cercato di migliorare il comfort grazie a:
- lavorazione della tomaia ""semi-scarpetta"", estremamente confortevole.
- maggiore ammortizzamento sull'avampiede grazie alla suola più spessa.
- la zona dell'avampiede rielaborata per non dare più nessun tipo di fastidio.
- un tessuto unico, senza cuciture, per ridurre i rischi di sfregamenti.
piãƒ™  rimbalzo ad ogni falcata
per permetterti di progredire e di migliorare i tuoi tempi, dalla 10 km alla maratona, le kiprun kd plus favoriscono il dinamismo (lo slancio) ad ogni falcata grazie alla geometria della suola associata alla schiuma kalensole.






vedi altri",donna,celeste,si,90.39,img_8555141.jpg,allenamenti-gare,si,,no,si
df sport specialist,98391277,https://www.df-sportspecialist.it/crazy-idea-short-lightning-d-s20015181d-00/,short donna lightning,pantaloni,pantaloni corti,crazy idea,no,"Partendo dalle esigenze delle atlete dello sky running abbiamo creato questo short leggerissimo,  elasticizzato con trattamento DWR. La fascia in vita è dotata di numerose tasche,  due per il gel e una con chiusura zip,  modello con inserti colorati estremamente femminile., Caratteristiche, Short uso maratona, 3 tasche sulla fascia in vita di cui 1 con zip, UTILIZZO, Running, TIPOLOGIA, Pantaloncini, CF S20015181D-00",donna,nero,no,52.5,img_img98391277.jpg,maratona,si,,no,si
nencini,382332,https://www.nencinisport.it/it/asics-color-block-cropped-tigh-2-382332.html,Asics Color Block Cropped Tigh 2,pantaloni,pantaloni,asics,si,"Spingiti al limite con i pantaloni aderenti da allenamento COLOR BLOCK CROPPED TIGHT 2 da donna, una scelta confortevole e contemporanea per le giornate di allenamento. Ti aiutano a muoverti più velocemente a lungo, grazie alla loro vestibilità aderente e alla linea aerodinamica, questi pantaloni aderenti ASICS attirano l'attenzione con il loro design a blocchi di colore.

Ulteriori dettagli sono la funzione del logo sul ginocchio e il marchio sul fianco e la stampa in gomma sul polpaccio, che si combinano per creare un capo elegante che è anche molto pratico. I fori al laser offrono il sollievo della ventilazione quando le cose si surriscaldano, mentre la tasca interna fornisce spazio per piccoli oggetti essenziali in modo da lasciare le mani libere.

Con così tanti dettagli utili, questi pantaloni aderenti da corsa da donna sono una scelta perfetta per le giornate di allenamento, in quanto lavorano insieme a te per migliorare le tue prestazioni.

Vestibilità aderente
Fori al laser
Logo funzionale
Logo esagonale
Tasca interna
Stampa gommata
Design a blocchi di colore
RIDUCI",donna,rosa,si,35,img_382332.jpg,,no,,no,no
df sport specialist,98385599,https://www.df-sportspecialist.it/adidas-scarpe-adizero-boston-8-w/,scarpa donna adizero boston 8,scarpe,scarpe,adidas,si,"Corri agile e veloce, concentrati solo sulla strada che si apre davanti a te. Queste adidas garantiscono una freschezza superiore anche durante gli allenamenti più intensi. L'ammortizzazione reattiva assicura un ritorno di energia imbattibile a ogni passo,  per permetterti di superare i tuoi limiti., Calzata regolare, Chiusura con lacci, Tomaia in air mesh, Stabilità eccezionale, Ammortizzazione e comfort all'insegna della leggerezza, Esclusiva intersuola Boost, Peso: 238 g (misura 42 2/3), Drop intersuola: 10 mm (tallone: 29 mm,  avampiede: 19 mm), Suola in gomma Continental UTILIZZO:, Running, TIPOLOGIA:, Scarpe, UTILIZZO:, Asfalto, TIPOLOGIA:, Neutre, TIPOLOGIA:, Calzature, CF: EG1169",donna,rosa,si,83.97,img_img98385599.jpg,,si,,no,si
df sport specialist,98385562,https://www.df-sportspecialist.it/adidas-scarpe-agravic-tr-gtx-ef6869/,scarpe uomo terrex agravic tr gtx,scarpe,scarpe,adidas,si,"ACQUA,  FANGO E FREDDO PER QUESTE SCARPE DA TRAIL RUNNING DA UOMO. I rinforzi anti abrasione migliorano stabilità e durat,  mentre la tomaia mantiene i piedi asciutti grazie alla membrana impermeabile in GORE-TEX. La leggera soletta ammortizzata in EVA e l'aggressiva suola TRAXION assicurano una presa multidirezionale sui terreni peggiori. Non lasciare che i terreni bagnati,  fangosi o accidentati cambino i tuoi piani. Preparati per il tuo allenamento,  indipendentemente dalle condizioni,  grazie a queste scarpe da trail running resistenti e impermeabili,  che ti tengono al passo su qualsiasi terreno., Scarpe da trail running impermeabili, Impermeabili e antivento, Peso: 350 grammi, Chiusura a lacci, Tomaia in mesh resistente allabrasione con membrana GORE-TEX impermeabile, Intersuola in EVA, UTILIZZO:, Running, UTILIZZO:, Sterrato, TIPOLOGIA:, Trail running, TIPOLOGIA:, Scarpe, CF: EF6869""",uomo,grigio,no,69.9,img_img98385562.jpg,,si,,no,si
df sport specialist,98339844,https://www.df-sportspecialist.it/odlo-smanicata-uomo-active-f-dry--light/,smanicata uomo active f-dry light,maglia,giacca,odlo,no,"Studiato per mantenere freschezza e asciuttezza quando le temperature sono in aumento,  questo capo presenta la tecnologia Effect by Odlo con azione tensiva-distensiva che ottimizza i tempi di asciugatura combinando uno strato interno in Polipropilene con uno strato esterno in PES al fine di creare un tessuto a doppio strato con migliori proprietà\ di gestione dellumidità\ e asciugatura. Le fibre di Effect by Odlo invece mantengono una sensazione di freschezza utilizzando gli effetti antibatterici dell'argento per neutralizzare l'odore causato dalla traspirazione,  mentre la protezione solare UV 40+ tiene a bada le scottature. Se sei in cerca di una canottiera estiva leggera e confortevole con una gestione dell'umidità\ di livello avanzato,  la canottiera SUW TOP Crew neck Singlet ACTIVE F-DRY LIGHT di Odlo fa per te., UTILIZZO, Running, UTILIZZO, Fitness, TIPOLOGIA, Canotte, TIPOLOGIA, Abbigliamento, SPORT, Running, SPORT, Intimo sportivo, SPORT, Fitness, CF 140922",uomo,blu,no,27.92,img_img98339844.jpg,,si,,no,si
df sport specialist,98394934,https://www.df-sportspecialist.it/asics-scarpe-gt-1000-9-1011a770-300/,scarpe gt 1000-9,scarpe,scarpe,asics,si,"La scarpa da corsa GT-1000 9 è il simbolo del comfort leggero, che rappresenta anche uno stile funzionale per i runner che cercano una corsa stabile e di grande sostegno. Un mix di tecnologia FLYTEFOAM e tecnologia GEL è posizionato più vicino al terreno e nel tallone per garantire un comfort leggero riducendo gli urti complessivi generati dallimpatto. Una soletta anatomica aggiunge un ulteriore tocco di stile comodo che si adatta alla forma unica del tuo piede,  combinata alla tomaia in rete russel per garantire una calzabilità personalizzata e strutturata. Oltre a una serie di caratteristiche tecniche avanzate che ti forniscono sostegno chilometro dopo chilometro,  la scarpa da corsa GT-1000 9 vanta anche una rete più traspirante e un design versatile che si abbina facilmente al tuo abbigliamento da corsa. La tecnologia TRUSSTIC migliora la stabilità.  La suola avvolgente migliora la stabilità durante i movimenti laterali, DIFFERENZIALE 8 mm , PESO 275 g, UTILIZZO:, Running, UTILIZZO:, Asfalto, TIPOLOGIA:, Stabili, CF: 1011A770-300""",uomo,verde,si,108,img_img98394934.jpg,,si,,no,si
decathlon,8548740,https://www.decathlon.it/t-shirt-uomo-run-dry-feel-id_8548740.html,t-shirt running uomo run dry + feel verde militare,maglia,t-shirt,kalenji,no,"abbiamo ideato questa t-shirt dallo stile urbano e dal taglio trendy per rendere più confortevoli le tue uscite di running con tempo caldo.l'aria circola meglio grazie alla struttura quadrettata in fibre sintetiche. il taglio ampio e la fluidità  offrono uno stile trendy ed evitano che la t-shirt si appiccichi alla pelle.i vantaggi
traspirazione
tessuto traspirante, per rimanere all'asciutto.
traspirabilità 
il taglio largo e i punti jacquard utilizzati lasciano passare l'aria.
rapidità  di asciugatura
tessuto sintetico che permette un'asciugatura più rapida.
fluidità 
l'assenza di cuciture laterali procura fluidità .informazioni tecniche
lavorazione circolare per piãƒ™  comfort e piãƒ™  stile
la lavorazione circolare ci ha permesso di creare un motivo unico che permette la circolazione dell'aria. ogni piccolo punto è lavorato in jacquard, più aperto. tutte queste piccole aerazioni permettono all'aria fresca di entrare e all'aria calda di fuoriuscire. abbiamo scelto un motivo quadrettato che crea uno stile elegante ed urbano. questa lavorazione permette anche di eliminare le cuciture laterali, per avere maggiore fluidità .
taglio ampio e diritto
il taglio ampio di questa t-shirt evita che il tessuto si appiccichi alla pelle quando è umido. inoltre l'aria riesce a circolare bene. per avere un taglio più aderente, prendi una taglia in meno rispetto alla tua taglia abituale per i prodotti decathlon.
un'etichetta per confrontare l'impatto ambientale dei prodotti
l'impatto ambientale del prodotto viene calcolato sulla totalità  del ciclo di vita del prodotto attraverso indici diversi. per aiutarti a identificare facilmente i prodotti dalle migliori performance ambientali, è stata realizzata una valutazione a-b-c-d-e che pone a confronto tra loro i prodotti di una stessa tipologia (t-shirt, pantaloni, zaini, ecc.).
decathlon è un attore volontario di questo processo di informazione ambientale.
ulteriori info: https://www.youtube.com/watch?v=1f_nfgsms2m",uomo,panna,no,13.39,img_8548740.jpg,,no,,no,no
df sport specialist,98383925,https://www.df-sportspecialist.it/brooks-scarpe-cascadia-14-1103101d489/,scarpe uomo cascadia 14,scarpe,scarpe,brooks,si,"""Abbiamo dato un po damore alla nostra scarpa da trail running più apprezzata"",  migliorandone la durevolezza e inserendo la trazione TrailTack per una migliore aderenza. Goditi la vista,  i tuoi piedi troveranno la strada., SUPPORTO Neutro, DROP 8mm, PESO 10.7oz / 303.3g, ARCO Media,  Alta, TIPO DI ESPERIENZACushion, TECHNOLOGY BioMoGo DNA, UTILIZZO Trail Running,  La suola in gomma TrailTack permette una maggiore trazione su superfici bagnate e asciutte.,  Il sistema con cucitura a sella completa interno offre una calzata aderente.,  Il nuovo parafango Cordura protegge dai detriti, "" favorendo il drenaggio dellacqua."", Stabilità tipo SUV, La tecnologia Pivot Post rivisitata funziona come un sistema di sospensioni stabilizzatrici fornendoti un controllo ed una protezione extra quando corri sui terreni accidentati, Più leggere che mai, Il design maggiormente aerodinamico e la suola aggiornata riducono il peso,  mentre la flessibilità migliorata ti aiuta a muoverti con naturalezza su terreni misti., Forte trazione, La suola in gomma TrailTack permette una maggiore trazione su superfici bagnate e asciutte,  stimolandoti ad andare più lontano,  più in alto o più veloce., UTILIZZO:, Running, TIPOLOGIA:, Scarpe, UTILIZZO:, Sterrato, TIPOLOGIA:, Trail running, CF: 1103101D489""",uomo,blu,no,89.9,img_img98383925.jpg,,si,,no,si
df sport specialist,98271079,https://www.df-sportspecialist.it/sport-specialist-calza-trail-running-coolmax-antifrizione/,calza trail running coolmax antifrizione,altro,calzini,sport specialist,no,"Calza running e trail running studiata per massimizzare il comfort e la protezione., 56% poliammide, 26% poliestere, 14% polipoprilene, 4% elestane, UTILIZZO, Running, UTILIZZO, Trekking, TIPOLOGIA, Calze, TIPOLOGIA, Abbigliamento, SPORT, Running, TIPOLOGIA, Calze e gambali, CF TRAIL RUN",unisex,grigio,no,6.99,img_img98271079.jpg,,si,,no,si
sportler,10683980,https://www.sportler.com/it/p/uyn-compression-run-fly-calzini-running-uomo-10683980?filterFarbe=Grey%2FYellow,Compression Run Fly - calzini running - uomo,altro,calzini,uyn,no,"Calzini running da uomo Compression Run Fly di Uyn con taglio più lungo, offrono la giusta compressione per i tuoi muscoli, supportandoli e ossigenandoli adeguatamente, assorbono gli impatti con il terreno in modo efficace.
in Texlyte Nano con pH-neutro e traspirante
tessuto elastico che si adatta al piede
tecnologia zerodor che previene la formazione di odori
tecnologia Preshock Shield che assorbe gli urti e protegge il tendine d'Achille
Target-compression Bandage per una compressione asimmetrica ergonomica e mirata
Ergologic Footbed per una struttura personalizzata e anatomica
struttura frontale ammortizzante Anti-Impactor
Proxygen Principle ossigena i muscoli e traspira
tecnologia Cool-Air-Flow traspirante per piedi sempre asciutti
compressione intelligente che ossigena i muscoli Compress-IQ
struttura protettiva anti-attrito Feather-Run zone
vestibilità aderente",uomo,grigio,no,24.9,img_10683980.jpg,,si,,no,si
sportler,10864009,https://www.sportler.com/it/p/buff-coolnet-uv-insect-scaldacollo-10864009?filterFarbe=Grey%2FGreen,Coolnet UV+® Insect - scaldacollo,altro,scaldacollo,buff,no,"Scaldacollo CoolNet UV+® Insect di Buff con speciale protezione anti-insetto e trattamento antibatterico Polygiene®. Colorato e confortevole, versatile e traspirante, perfetto per le attività outdoor estive, protegge dal sole e allontana il sudore lasciando respirare la pelle.
in tessuto contenente fibre di lana merino naturalmentetraspirante
protezione solare UPF50+
tecnologia Insect Shield® che allontana gli insetti
tessuto elastico a 4 direzioni
costruzione priva di cuciture
finitura Polygiene® anti-batterica che neutralizza gli odori
utilizzabile anche come cappellino o bandana
vestibilità Regular Fit",uomo,grigio,no,22.7,img_10864009.jpg,,si,,no,si
sportler,10872119,https://www.sportler.com/it/p/dynafit-alpine-maglia-trail-running-uomo-10872119?filterFarbe=Grey%2FBlack%2FYellow,Alpine - maglia trail running - uomo,maglia,maglia,dynafit,no,"Maglia trail running da uomo Alpine W S/S Tee di Dynafit pensata per gli allenamenti medio-lunghi, a rapida asciugatura e altamente traspirante, con elementi riflettenti per permetterti di correre nei boschi in sicurezza e all'imbrunire.
tessuto Dynaquard Stretch elastico e leggero
materiali utilizzati certificati bluesign®
trattamento wicking per un migliore comfort
elementi riflettenti
girocollo
cuciture delle spalle avanzate per maggiore comfort
design a blocchi di colore
vestibilità Sportive Fit",uomo,grigio,no,54.6,img_10872119.jpg,,no,,no,no
decathlon,8502755,https://www.decathlon.it/maglia-uomo-run-warm-blu-id_8502755.html,maglia maniche lunghe running uomo run warm blu,maglia,maglia,kalenji,no,"abbiamo ideato questa t-shirt maniche lunghe per gli uomini che corrono con tempo freddo.vuoi una buona protezione contro il freddo quando fai running? questa maglia, indossata a contatto con la pelle o sopra una t-shirt, sarà  la tua migliore alleata!i vantaggi
calore
il componente principale permette di rimanere alla giusta temperatura.
traspirazione
tessuto traspirante, per rimanere all'asciutto.
morbidezza
componente morbido e confortevole.
ecodesign
tessuto principale 100% poliestere riciclato.informazioni tecniche
consigli utili
questa maglia con un componente tecnico permette di isolare dal freddo e garantisce una buona traspirabilità  con temperature inferiori a 15 C°.
si puà² anche usare sotto alla giacca per un comfort termico migliore. per una sensazione di freschezza, usare la mezza zip.
un'etichetta per confrontare l'impatto ambientale dei prodotti
l'impatto ambientale del prodotto viene calcolato sulla totalità  del ciclo di vita del prodotto attraverso indici diversi. per aiutarti a identificare facilmente i prodotti dalle migliori performance ambientali, è stata realizzata una valutazione a-b-c-d-e che pone a confronto tra loro i prodotti di una stessa tipologia (t-shirt, pantaloni, zaini, ecc.).
decathlon è un attore volontario di questo processo di informazione ambientale.
ulteriori info: https://www.youtube.com/watch?v=1f_nfgsms2m",uomo,nero,no,7.39,img_8502755.jpg,,no,ecodesign,si,no
sportler,10837478,https://www.sportler.com/it/p/on-cloudflow-scarpe-running-da-gara-uomo-10837478?filterFarbe=Black,Cloudflow - scarpe running da gara - uomo,scarpe,scarpe,on cloud,no,"Scarpe running da gara da uomo Cloudflow di On perfette per le atlete d'elite, molto confortevole e reattiva, trasforma l'impatto in accelerazione sia in allenamento che in gara, per risultati vincenti ad ogni competizione.
ammortizzazione Helion™ superfoam
18 Elementi cloud si combinano con l'esplosivo Speedboard™ per trasformare l'impatto in accelerazione
nuova configurazione di allacciatura
nuvole rimodellate significano atterraggi più morbidi sull'avampiede e maggiore supporto ad alta velocità
tomaia in mesh ingegnerizzato per alta performance
costruzione aggiornata del tallone offre una tenuta confortevole e duratura
Speedboard™ aggiornato per il massimo carico di energia e comfort",uomo,nero,no,149.95,img_10837478.jpg,,si,,no,si
sportler,10824050,https://www.sportler.com/it/p/under-armour-storm-fleece-berretto-running-uomo-10824050?filterFarbe=Black,Storm Fleece - berretto running - uomo,altro,berretto,under armour,si,"Berretto running da uomo Storm Fleece di Under Armour perfetta per ogni tipo di allenamento, leggera e confortevole, asciuga rapidamente per una sensazione di asciutto costante, con grafica esclusiva all-over per un look originale.
struttura Armour Fleece® leggera, calda e a rapida asciugatura
finitura UA Storm idrorepellente e traspirante
logo UA in silicone opaco a rilievo
vestibilità Regular Fit",uomo,nero,no,30,img_10824050.jpg,,si,,no,si
nencini,383592,https://www.nencinisport.it/it/mizuno-wave-ultima-11-w-383592.html,Mizuno Wave Ultima 11 W,scarpe,scarpe,mizuno,si,"La scarpa Wave Ultima 11 è progettata per offrirti un'esperienza di corsa senza intoppi. Zeppa del tallone U4icX, ammortizzazione della tecnologia Wave, intersuola a doppia mescola e avampiede in gomma soffiata. Anche la tomaia è composta da poche parti per una costruzione più leggera e senza cuciture, mentre una soletta interna in PU offre una vestibilità estremamente confortevole
  Materiale: sintetico / mesh.
CONTINUA A LEGGERE",donna,nero,no,88.2,img_383592.jpg,,si,,no,si
sportler,10778218,https://www.sportler.com/it/p/nike-vaporknit-5-running-pantaloni-corti-running-uomo-10778218?filterFarbe=Black,"VaporKnit 5"" Running - pantaloni corti running - uomo",pantaloni,pantaloni corti,nike,si,"Pantaloni corti running da uomo VaporKnit Men's 5"" Running Shorts di Nike per correre senza distrazioni, offrono ampia libertà di movimento e una traspirazione ottimale, anche durante sessioni di allenamento intense.
in tessuto leggerissimo e altamente traspirante
tecnologia Vaporknit che combina leggerezza e ventilazione
vita elastica con tecnologia Flyvent per un'efficace ventilazione
vita regolabile con cordino
molteplici tasche
spacchetti laterali a fondo gamba per una mobilità ottimale
lunghezza cucitura interna 5""
vestibilità Slim Fit",uomo,nero,no,54.4,img_10778218.jpg,,si,,no,si
sportler,10748523,https://www.sportler.com/it/p/under-armour-qualifier-maglia-running-donna-10748523?filterFarbe=Black,Qualifier - maglia running - donna,maglia,maglia,under armour,si,"La maglia running a maniche corte Qualifier Short Sleeve di Under Armour rende il tuo allenamento più comodo e confortevole. Il suo materiale ultraleggero con una struttura speciale immagazzina calore e allo stesso tempo è traspirante. Gli inserti in mesh elasticizzati posizionati strategicamente sul retro consentono un flusso d'aria ottimale, mentre i dettagli riflettenti migliorano la visibilità in condizioni di scarsa illuminazione. La costruzione a quattro vie garantisce inoltre la massima libertà di movimento in tutte le direzioni.
taglio aderente
tessuto traspirante ultraleggero che ti scalda mentre corri
inserti sulla schiena in rete elasticizzati per una ventilazione strategica
tessuto stretch a 4 vie offre una maggiore libertà di movimento in tutte le direzioni
il materiale assorbe il sudore dal corpo e si asciuga molto rapidamente
logo riflettente per una migliore visibilità durante condizioni di scarsa illuminazione",donna,arancione,si,45,img_10748523.jpg,,no,,no,no
decathlon,8552269,https://www.decathlon.it/cappellino-atletica-bambino-id_8552269.html,cappellino atletica bambino blu,altro,cappellino,kalenji,no,"la nostra equipe di appassionati di atletica ha sviluppato questo cappellino per i giovani atleti. per proteggersi dal freddo, in allenamento e in gara.cappellino che protegge la testa dei bambini dal freddo durante gli allenamenti di atletica e il cross! vantaggio in più: tessuto idrorepellente che non si inzuppa d'acqua e lascia i capelli asciutti!i vantaggi
calore
il tessuto garzato molto morbido protegge dal freddo durante l'attività .
idrorepellenza
tessuto con trattamento idrorepellente per proteggere dalla pioggia leggera.
traspirabilità 
il tessuto permette di avere una grande traspirabilità .composizione/consigli
composizione
tessuto principale
91.00% poliestere (pes), 09.00% elastan
consigli per la manutenzione:
non asciugare nell'asciugatrice.
istruzioni di lavaggio
lavaggio in lavatrice - 30C°° max - con un ciclo normale
non usare la candeggina
non asciugare nell'asciugatrice
non stirare
non lavare a secco
consigli per la cura
consigliamo di riporre il prodotto in un luogo asciutto ed aerato.",bambino,,,5.39,img_8552269.jpg,gara,si,,no,si
df sport specialist,98383215,https://www.df-sportspecialist.it/adidas-scarpe-duramo-9-ee7922/,scarpe duramo 9,scarpe,scarpe,adidas,si,"Queste versatili scarpe da running sono ideali per allenarsi sia in palestra che all'aperto. Sono dotate di una resistente tomaia in mesh traspirante a doppio strato con rivestimento stampato privo di cuciture che assicura un supporto aggiuntivo. La morbidissima intersuola Cloudfoam ammortizza ogni passo,  mentre la suola robusta garantisce una maggiore resistenza., Tipo di scarpa, Neutrale con ammortizzazione premium,  per offrirti flessibilità e versatilità, Ammortizzazione e comfort, Intersuola Cloudfoam per un comfort immediato e un'ammortizzazione superiore, Supporto mirato, Il rivestimento con stampa tattile senza cuciture aumenta il supporto dove è più necessario, Massima resistenza, Suola Adiwear che fornisce prestazioni ottimali anche dopo un utilizzo prolungato, Calzata regolare, Chiusura con i lacci e sottocchiello sagomato, Tomaia in mesh, Fodera in tessuto suola Adiwear, Intersuola con ammortizzazione Cloudfoam goditi il comfort e le prestazioni tecniche della soletta OrthoLite, Peso: 281 g (numero 42 2/3), Drop intersuola: 9, 5 mm (tallone: 23, 5 mm / avampiede: 14 mm), Arco plantare: normale consigliate per: allenamenti di qualsiasi disciplina sportiva, UTILIZZO:, Running, UTILIZZO:, Asfalto, TIPOLOGIA:, Neutre, CF: EE7922""",uomo,blu,no,39.9,img_img98383215.jpg,,si,,no,si
nencini,341618,https://www.nencinisport.it/it/asics-silver-ss-top.html,Asics Silver Ss Top,maglia,maglia,asics,si,"Con la maglia da corsa ASICS a maniche corte da uomo scegli la semplicità ogni volta che vai a correre.
Indossala sotto a una maglia a maniche lunghe nelle giornate più fredde, o da sola quando inizia a fare più caldo ma non abbastanza da uscire in canotta.
Il design classico propone il caratteristico logo a spirale ASICS.
Questa maglia ti permette di regolare la temperatura corporea e di dare il massimo mentre corri in solitaria per mantenerti in forma o durante un evento ad alto livello agonistico.
Materiale sintetico.
RIDUCI",uomo,nero,no,14,img_341618.jpg,,si,,no,si
sportler,10863993,https://www.sportler.com/it/p/buff-visor-visiera-running-donna-10863993?filterFarbe=Black,Visor - visiera running - donna,altro,vario,buff,no,"Visiera running da donna Pack Run Cap di Buff per corse di lunga durata, allontana il sudore dalla pelle, protegge ed è perfetta per le calde giornate di sole.
in tessuto traspirante, con ottima gestione dell'umidità ed elastico
visiera rigida
con fascia antiumidità integrata
elementi rifrangenti per una maggiore visibilità
nastro di fissaggio posteriore per una corretta regolazione
logo Buff rifrangente
vestibilità regolare",donna,bianco,no,22.7,img_10863993.jpg,,si,,no,si
decathlon,8554398,https://www.decathlon.it/pantaloncini-donna-run-dry-id_8554398.html,pantaloncini 2 in 1 running donna run dry + neri,pantaloni,pantaloncini,kalenji,no,"abbiamo ideato questi pantaloncini per le donne che corrono con tempo caldo.pantaloncini con cosciali integrati, senza cuciture sul cavallo, non salgono mentre si corre. per tutte le donne che vogliono indossare i pantaloncini senza che salgano o provochino irritazioni!i vantaggi
sostegno
cosciali che offrono un buon sostegno e non salgono mentre si corre.
limitazione irritazioni
prodotto ideato senza cuciture sul cavallo per evitare sfregamenti sulle cosce.
traspirazione
il tessuto principale favorisce la traspirabilità .
tasche
tasca con zip sulla schiena per gli effetti personali.informazioni tecniche
comfort
questi pantaloncini con cosciali sono stati ideati per procurare un ottimo comfort: grazie alla fascia larga in vita e alla laccio elastico, potrai regolarli perfettamente in vita.
la struttura dei cosciali senza cuciture sul cavallo riduce nettamente i rischi di irritazioni.
traspirabilitãƒâ‚¬
il componente utilizzato limita la sensazione di umido grazie all'assorbimento, alla dispersione e all'asciugatura del sudore prodotto dal corpo in attività .
tasca con zip
tasca con zip (15x7cm) in vita per trasportare gli effetti personali (chiavi, fazzoletto o un piccolo smartphone).
vedi altri",donna,nero,no,17.39,img_8554398.jpg,,no,,no,no
sportler,10863409,https://www.sportler.com/it/p/getfit-hi-viz-riu-calzini-running-uomo-10863409?filterFarbe=Black,Hi Viz Riu - calzini running - uomo,altro,calzini,get fit,no,"Calzini running Hi Viz Riu di Get Fit molto leggeri e traspiranti, perfetti per le sessioni di corsa intense e durature.
tessuto leggero e a rapida asciugatura, leggermente elastico
tecnologia Coolmax per piedi sempre asciutti
punta e tallone rinforzati
disegno anatomico dx/sx
elementi riflettenti
cuciture piatta in punta
vestibilità Regular Fit",uomo,bianco,no,14.95,img_10863409.jpg,,si,,no,si
sportler,10779663,https://www.sportler.com/it/p/bv-sport-scr-one-evo-calze-running-10779663?filterFarbe=Black%2FGreen,SCR One Evo - calze running,altro,calzini,bv sport,no,"Calzini running SCR One Evo di BV Sport tecnici e ultra leggeri, dotati di cuciture piatte e rinforzi in corrispondenza di tallone e punta, per il massimo comfort ad ogni movimento.
pianta del piede anatomica rinforzata
in leggero mesh ad asciugatura rapida per una ventilazione ottimale
rinforzi su tallone e punta offrono maggiore ammortizzazione
cuciture piatte per una calzata confortevole
struttura anatomica specifica per piede destro e sinistro
sensazione di asciutto e fresco sulla pelle dato dall'elevata traspirabilità",unisex,blu,no,11.95,img_10779663.jpg,,si,,no,si
sportler,10075150,https://www.sportler.com/it/p/salomon-trail-low-ghette-trail-running-10075150?filterFarbe=Black,Trail Low - ghette trail running,altro,vario,salomon,no,"Le ghette Trail Gaiters Low impediscono che ghiaia, neve, spine ed erba entrino nelle scarpe. Si applicano facilmente alla scarpa e proteggono anche le caviglie. 
quando il sentiero si fa duro e accidentato, basta infilare la ghetta sopra la scarpa e chiuderla con il Velcro®
strap a prova di bomba, rete robusta e imbottitura leggera intorno alla caviglia
fettuccia sotto il piede
dettagli riflettenti",uomo,nero,no,29.95,img_10075150.jpg,,si,,no,si
df sport specialist,98386945,https://www.df-sportspecialist.it/hoka-scarpe-clifton-6-w-1102873-brgl/,scarpe donna clifton 6 w,scarpe,scarpe,hoka,no,"La scarpa che ha rivoluzionato la percezione di HOKA ONE ONEÂ® da parte dei runner,  Clifton 6, "" diventa nuovo membro dellacclamata famiglia Clifton. Basata sulle qualità migliori di Clifton"",  la â€œ6â€\x9d combina perfettamente morbidezza e leggerezza. Clifton 6 presenta una calzata più fluida e comoda e un ricamo che ne migliora la stabilità,  senza appesantirla. Trova il punto di massima propulsione con Clifton 6. , La tomaia in mesh tecnico offre una sensazione di leggerezza e traspirabilità, Il rinforzo ricamato riduce il numero di strati,  offrendo supporto e stabilità alla parte centrale della tomaia, Gli occhielli rinforzati offrono una maggiore durevolezza, Il Meta-Rocker vicino al collo del piede garantisce una corsa fluida , Intersuola interamente in EVA che garantisce l'esclusiva ammortizzazione HOKA ONE ONEÂ®, Tallone leggermente smussato per una transizione fluida, Geometria Flat â€“ Waisted che fornisce grande stabilità, Struttura completamente a contatto col suolo, Zone in gomma strategiche ad alta abrasione per ridurre il peso, Adatta a: Strada, Peso: 216.00g, Drop tallone-punta: 5.00mm, UTILIZZO:, Running, TIPOLOGIA:, Scarpe, UTILIZZO:, Asfalto, TIPOLOGIA:, Neutre, CF: 1102873-BRGL""",donna,nero,no,98,img_img98386945.jpg,,si,,no,si
